requestId,requesterName,requesterIndexNumber,userCategory,pickupLocationId,destinationLocationId,status,submissionTimestamp,waitTimeMinutes,isMedicalUrgency
107,Kwabena Yeboah2,10100107,STUDENT,14,33,PENDING,1690000106000,12.0,false
108,Yaa Asantewaa2,10100108,EMERGENCY,16,1,PENDING,1690000107000,1.5,true
109,Kojo Antwi2,10100109,DISABLED,18,37,PENDING,1690000108000,20.0,false
110,Efua Sutherland2,10100110,STUDENT,20,13,DISPATCHED,1690000109000,3.0,false
111,Kwame Nkrumah2,10100111,STAFF,22,2,PENDING,1690000110000,7.5,false
112,Adwoa Smart2,10100112,STUDENT,24,9,PENDING,1690000111000,11.0,false
113,Kweku Baako2,10100113,EMERGENCY,26,1,PENDING,1690000112000,0.5,true
114,Akua GMB2,10100114,DISABLED,28,44,PENDING,1690000113000,18.0,false
115,Yaw Mensah2,10100115,STUDENT,30,19,DISPATCHED,1690000114000,4.0,false
116,Ama Boahemaa2,10100116,STAFF,32,29,PENDING,1690000115000,6.5,false
117,Kofi Annan2,10100117,STUDENT,34,5,PENDING,1690000116000,9.0,false
118,Afia Schwarzenegger2,10100118,EMERGENCY,36,1,PENDING,1690000117000,2.5,true
119,Sarkodie2,10100119,DISABLED,38,41,PENDING,1690000118000,16.0,false
120,Shatta Wale2,10100120,STUDENT,40,11,DISPATCHED,1690000119000,5.5,false
121,Stonebwoy2,10100121,STAFF,42,27,PENDING,1690000120000,8.0,false
122,Kuami Eugene2,10100122,STUDENT,44,7,PENDING,1690000121000,13.0,false
123,KiDi2,10100123,EMERGENCY,46,1,PENDING,1690000122000,1.0,true
124,King Promise2,10100124,DISABLED,48,22,PENDING,1690000123000,19.0,false
125,Gyakie2,10100125,STUDENT,50,15,DISPATCHED,1690000124000,3.5,false
126,Wendy Shay2,10100126,STAFF,1,39,PENDING,1690000125000,7.0,false
127,Diana Hamilton2,10100127,STUDENT,3,25,PENDING,1690000126000,10.0,false
128,Joe Mettle2,10100128,EMERGENCY,5,1,PENDING,1690000127000,0.8,true
129,Ohemaa Mercy2,10100129,DISABLED,7,30,PENDING,1690000128000,17.0,false
130,Kwesi Arthur2,10100130,STUDENT,9,17,DISPATCHED,1690000129000,4.5,false
131,Medikal2,10100131,STAFF,11,48,PENDING,1690000130000,6.0,false
132,Fella Makafui2,10100132,STUDENT,13,8,PENDING,1690000131000,14.0,false
133,Hajia Bintu2,10100133,EMERGENCY,15,1,PENDING,1690000132000,2.2,true
134,Kalybos2,10100134,DISABLED,17,20,PENDING,1690000133000,21.0,false
135,Ahuofe Patri2,10100135,STUDENT,19,34,DISPATCHED,1690000134000,5.0,false
136,Bismark The Joke2,10100136,STAFF,21,46,PENDING,1690000135000,9.5,false
137,Clemento Suarez2,10100137,STUDENT,23,4,PENDING,1690000136000,11.5,false
138,Lil Win2,10100138,EMERGENCY,25,1,PENDING,1690000137000,1.2,true
139,Akrobeto2,10100139,DISABLED,27,16,PENDING,1690000138000,14.5,false
140,Nana Ama McBrown2,10100140,STUDENT,29,38,DISPATCHED,1690000139000,2.8,false
141,Emelia Brobbey2,10100141,STAFF,31,10,PENDING,1690000140000,8.2,false
142,Jackie Appiah2,10100142,STUDENT,33,42,PENDING,1690000141000,12.5,false
143,Nadia Buari2,10100143,EMERGENCY,35,1,PENDING,1690000142000,0.6,true
144,Yvonne Nelson2,10100144,DISABLED,37,28,PENDING,1690000143000,19.5,false
145,Yvonne Okoro2,10100145,STUDENT,39,6,DISPATCHED,1690000144000,4.2,false
146,Juliet Ibrahim2,10100146,STAFF,41,32,PENDING,1690000145000,5.8,false
147,Joselyn Dumas2,10100147,STUDENT,43,18,PENDING,1690000146000,10.8,false
148,Martha Ankomah2,10100148,EMERGENCY,45,1,PENDING,1690000147000,1.8,true
149,Roselyn Ngissah2,10100149,DISABLED,47,40,PENDING,1690000148000,16.5,false
150,Salma Mumin2,10100150,STUDENT,49,26,DISPATCHED,1690000149000,3.2,false
151,Moesha Boduong2,10100151,STAFF,2,12,PENDING,1690000150000,7.2,false
152,Hajia4Reall2,10100152,STUDENT,4,21,PENDING,1690000151000,13.5,false
153,Akuapem Poloo2,10100153,EMERGENCY,6,1,PENDING,1690000152000,0.9,true
154,Tracey Boakye2,10100154,DISABLED,8,14,PENDING,1690000153000,20.5,false
155,Mzbel2,10100155,STUDENT,10,24,DISPATCHED,1690000154000,6.2,false
156,Delay2,10100156,STAFF,12,50,PENDING,1690000155000,9.2,false
157,Berla Mundi2,10100157,STUDENT,14,33,PENDING,1690000156000,11.2,false
158,Serwaa Amihere2,10100158,EMERGENCY,16,1,PENDING,1690000157000,2.1,true
159,Nana Aba Anamoah2,10100159,DISABLED,18,37,PENDING,1690000158000,15.5,false
160,Bridget Otoo2,10100160,STUDENT,20,13,DISPATCHED,1690000159000,4.8,false
161,Anita Akuffo2,10100161,STAFF,22,2,PENDING,1690000160000,6.8,false
162,Cookietee2,10100162,STUDENT,24,9,PENDING,1690000161000,14.5,false
163,Giovani Caleb2,10100163,EMERGENCY,26,1,PENDING,1690000162000,1.4,true
164,Lexis Bill2,10100164,DISABLED,28,44,PENDING,1690000163000,18.5,false
165,KOD2,10100165,STUDENT,30,19,DISPATCHED,1690000164000,5.2,false
166,Abeiku Santana2,10100166,STAFF,32,29,PENDING,1690000165000,8.8,false
167,Kwame Sefa Kayi2,10100167,STUDENT,34,5,PENDING,1690000166000,10.2,false
168,Bernard Avle2,10100168,EMERGENCY,36,1,PENDING,1690000167000,0.7,true
169,Kojo Yankson2,10100169,DISABLED,38,41,PENDING,1690000168000,17.5,false
170,Evans Mensah2,10100170,STUDENT,40,11,DISPATCHED,1690000169000,3.8,false
171,Samson Lardy2,10100171,STAFF,42,27,PENDING,1690000170000,7.8,false
172,Gary Al-Smith2,10100172,STUDENT,44,7,PENDING,1690000171000,12.2,false
173,Joyceline Dumas2,10100173,EMERGENCY,46,1,PENDING,1690000172000,2.4,true
174,Kafui Dey2,10100174,DISABLED,48,22,PENDING,1690000173000,19.2,false
175,Gifty Anti2,10100175,STUDENT,50,15,DISPATCHED,1690000174000,4.4,false
176,Paul Adom Otchere2,10100176,STAFF,1,39,PENDING,1690000175000,9.8,false
177,Osei Kwame Despite2,10100177,STUDENT,3,25,PENDING,1690000176000,11.8,false
178,Ernest Ofori Sarpong2,10100178,EMERGENCY,5,1,PENDING,1690000177000,1.1,true
179,Ibrahim Mahama2,10100179,DISABLED,7,30,PENDING,1690000178000,16.2,false
180,Kennedy Agyapong2,10100180,STUDENT,9,17,DISPATCHED,1690000179000,5.4,false
181,John Mahama2,10100181,STAFF,11,48,PENDING,1690000180000,6.4,false
182,Nana Akufo-Addo2,10100182,STUDENT,13,8,PENDING,1690000181000,13.2,false
183,Bawumia2,10100183,EMERGENCY,15,1,PENDING,1690000182000,2.6,true
184,Alan Kyerematen2,10100184,DISABLED,17,20,PENDING,1690000183000,21.5,false
185,Kofi Adams2,10100185,STUDENT,19,34,DISPATCHED,1690000184000,3.6,false
186,Asiedu Nketia2,10100186,STAFF,21,46,PENDING,1690000185000,8.4,false
187,Sammy Gyamfi2,10100187,STUDENT,23,4,PENDING,1690000186000,10.4,false
188,Kojo Oppong Nkrumah2,10100188,EMERGENCY,25,1,PENDING,1690000187000,1.3,true
189,Ursula Owusu2,10100189,DISABLED,27,16,PENDING,1690000188000,14.2,false
190,Shirley Ayorkor2,10100190,STUDENT,29,38,DISPATCHED,1690000189000,5.6,false
191,Matthew Opoku Prempeh2,10100191,STAFF,31,10,PENDING,1690000190000,7.4,false
192,Adwoa Safo2,10100192,STUDENT,33,42,PENDING,1690000191000,12.4,false
193,Zanetor Rawlings2,10100193,EMERGENCY,35,1,PENDING,1690000192000,0.4,true
194,Sam George2,10100194,DISABLED,37,28,PENDING,1690000193000,18.2,false
195,Afenyo Markin2,10100195,STUDENT,39,6,DISPATCHED,1690000194000,4.6,false
196,Haruna Iddrisu2,10100196,STAFF,41,32,PENDING,1690000195000,9.4,false
197,Muntaka Mubarak2,10100197,STUDENT,43,18,PENDING,1690000196000,11.4,false
198,James Gyakye Quayson2,10100198,EMERGENCY,45,1,PENDING,1690000197000,2.8,true
199,Osei Kyei Mensah2,10100199,DISABLED,47,40,PENDING,1690000198000,17.2,false
200,Alban Bagbin2,10100200,STUDENT,49,26,DISPATCHED,1690000199000,3.4,false
201,Kofi Mensah3,10100201,STUDENT,2,12,PENDING,1690000200000,10.5,false
202,Ama Serwaa3,10100202,STAFF,4,21,PENDING,1690000201000,5.0,false
203,Kwesi Appiah3,10100203,EMERGENCY,6,1,DISPATCHED,1690000202000,2.0,true
204,Abena Osei3,10100204,DISABLED,8,14,PENDING,1690000203000,15.0,false
205,Yaw Dabo3,10100205,STUDENT,10,24,PENDING,1690000204000,8.5,false
206,Akosua Agyapong3,10100206,STAFF,12,50,COMPLETED,1690000205000,0.0,false
207,Kwabena Yeboah3,10100207,STUDENT,14,33,PENDING,1690000206000,12.0,false
208,Yaa Asantewaa3,10100208,EMERGENCY,16,1,PENDING,1690000207000,1.5,true
209,Kojo Antwi3,10100209,DISABLED,18,37,PENDING,1690000208000,20.0,false
210,Efua Sutherland3,10100210,STUDENT,20,13,DISPATCHED,1690000209000,3.0,false
211,Kwame Nkrumah3,10100211,STAFF,22,2,PENDING,1690000210000,7.5,false
212,Adwoa Smart3,10100212,STUDENT,24,9,PENDING,1690000211000,11.0,false
213,Kweku Baako3,10100213,EMERGENCY,26,1,PENDING,1690000212000,0.5,true
214,Akua GMB3,10100214,DISABLED,28,44,PENDING,1690000213000,18.0,false
215,Yaw Mensah3,10100215,STUDENT,30,19,DISPATCHED,1690000214000,4.0,false
216,Ama Boahemaa3,10100216,STAFF,32,29,PENDING,1690000215000,6.5,false
217,Kofi Annan3,10100217,STUDENT,34,5,PENDING,1690000216000,9.0,false
218,Afia Schwarzenegger3,10100218,EMERGENCY,36,1,PENDING,1690000217000,2.5,true
219,Sarkodie3,10100219,DISABLED,38,41,PENDING,1690000218000,16.0,false
220,Shatta Wale3,10100220,STUDENT,40,11,DISPATCHED,1690000219000,5.5,false
221,Stonebwoy3,10100221,STAFF,42,27,PENDING,1690000220000,8.0,false
222,Kuami Eugene3,10100222,STUDENT,44,7,PENDING,1690000221000,13.0,false
223,KiDi3,10100223,EMERGENCY,46,1,PENDING,1690000222000,1.0,true
224,King Promise3,10100224,DISABLED,48,22,PENDING,1690000223000,19.0,false
225,Gyakie3,10100225,STUDENT,50,15,DISPATCHED,1690000224000,3.5,false
226,Wendy Shay3,10100226,STAFF,1,39,PENDING,1690000225000,7.0,false
227,Diana Hamilton3,10100227,STUDENT,3,25,PENDING,1690000226000,10.0,false
228,Joe Mettle3,10100228,EMERGENCY,5,1,PENDING,1690000227000,0.8,true
229,Ohemaa Mercy3,10100229,DISABLED,7,30,PENDING,1690000228000,17.0,false
230,Kwesi Arthur3,10100230,STUDENT,9,17,DISPATCHED,1690000229000,4.5,false
231,Medikal3,10100231,STAFF,11,48,PENDING,1690000230000,6.0,false
232,Fella Makafui3,10100232,STUDENT,13,8,PENDING,1690000231000,14.0,false
233,Hajia Bintu3,10100233,EMERGENCY,15,1,PENDING,1690000232000,2.2,true
234,Kalybos3,10100234,DISABLED,17,20,PENDING,1690000233000,21.0,false
235,Ahuofe Patri3,10100235,STUDENT,19,34,DISPATCHED,1690000234000,5.0,false
236,Bismark The Joke3,10100236,STAFF,21,46,PENDING,1690000235000,9.5,false
237,Clemento Suarez3,10100237,STUDENT,23,4,PENDING,1690000236000,11.5,false
238,Lil Win3,10100238,EMERGENCY,25,1,PENDING,1690000237000,1.2,true
239,Akrobeto3,10100239,DISABLED,27,16,PENDING,1690000238000,14.5,false
240,Nana Ama McBrown3,10100240,STUDENT,29,38,DISPATCHED,1690000239000,2.8,false
241,Emelia Brobbey3,10100241,STAFF,31,10,PENDING,1690000240000,8.2,false
242,Jackie Appiah3,10100242,STUDENT,33,42,PENDING,1690000241000,12.5,false
243,Nadia Buari3,10100243,EMERGENCY,35,1,PENDING,1690000242000,0.6,true
244,Yvonne Nelson3,10100244,DISABLED,37,28,PENDING,1690000243000,19.5,false
245,Yvonne Okoro3,10100245,STUDENT,39,6,DISPATCHED,1690000244000,4.2,false
246,Juliet Ibrahim3,10100246,STAFF,41,32,PENDING,1690000245000,5.8,false
247,Joselyn Dumas3,10100247,STUDENT,43,18,PENDING,1690000246000,10.8,false
248,Martha Ankomah3,10100248,EMERGENCY,45,1,PENDING,1690000247000,1.8,true
249,Roselyn Ngissah3,10100249,DISABLED,47,40,PENDING,1690000248000,16.5,false
250,Salma Mumin3,10100250,STUDENT,49,26,DISPATCHED,1690000249000,3.2,false
251,Moesha Boduong3,10100251,STAFF,2,12,PENDING,1690000250000,7.2,false
252,Hajia4Reall3,10100252,STUDENT,4,21,PENDING,1690000251000,13.5,false
253,Akuapem Poloo3,10100253,EMERGENCY,6,1,PENDING,1690000252000,0.9,true
254,Tracey Boakye3,10100254,DISABLED,8,14,PENDING,1690000253000,20.5,false
255,Mzbel3,10100255,STUDENT,10,24,DISPATCHED,1690000254000,6.2,false
256,Delay3,10100256,STAFF,12,50,PENDING,1690000255000,9.2,false
257,Berla Mundi3,10100257,STUDENT,14,33,PENDING,1690000256000,11.2,false
258,Serwaa Amihere3,10100258,EMERGENCY,16,1,PENDING,1690000257000,2.1,true
259,Nana Aba Anamoah3,10100259,DISABLED,18,37,PENDING,1690000258000,15.5,false
260,Bridget Otoo3,10100260,STUDENT,20,13,DISPATCHED,1690000259000,4.8,false
261,Anita Akuffo3,10100261,STAFF,22,2,PENDING,1690000260000,6.8,false
262,Cookietee3,10100262,STUDENT,24,9,PENDING,1690000261000,14.5,false
263,Giovani Caleb3,10100263,EMERGENCY,26,1,PENDING,1690000262000,1.4,true
264,Lexis Bill3,10100264,DISABLED,28,44,PENDING,1690000263000,18.5,false
265,KOD3,10100265,STUDENT,30,19,DISPATCHED,1690000264000,5.2,false
266,Abeiku Santana3,10100266,STAFF,32,29,PENDING,1690000265000,8.8,false
267,Kwame Sefa Kayi3,10100267,STUDENT,34,5,PENDING,1690000266000,10.2,false
268,Bernard Avle3,10100268,EMERGENCY,36,1,PENDING,1690000267000,0.7,true
269,Kojo Yankson3,10100269,DISABLED,38,41,PENDING,1690000268000,17.5,false
270,Evans Mensah3,10100270,STUDENT,40,11,DISPATCHED,1690000269000,3.8,false
271,Samson Lardy3,10100271,STAFF,42,27,PENDING,1690000270000,7.8,false
272,Gary Al-Smith3,10100272,STUDENT,44,7,PENDING,1690000271000,12.2,false
273,Joyceline Dumas3,10100273,EMERGENCY,46,1,PENDING,1690000272000,2.4,true
274,Kafui Dey3,10100274,DISABLED,48,22,PENDING,1690000273000,19.2,false
275,Gifty Anti3,10100275,STUDENT,50,15,DISPATCHED,1690000274000,4.4,false
276,Paul Adom Otchere3,10100276,STAFF,1,39,PENDING,1690000275000,9.8,false
277,Osei Kwame Despite3,10100277,STUDENT,3,25,PENDING,1690000276000,11.8,false
278,Ernest Ofori Sarpong3,10100278,EMERGENCY,5,1,PENDING,1690000277000,1.1,true
279,Ibrahim Mahama3,10100279,DISABLED,7,30,PENDING,1690000278000,16.2,false
280,Kennedy Agyapong3,10100280,STUDENT,9,17,DISPATCHED,1690000279000,5.4,false
281,John Mahama3,10100281,STAFF,11,48,PENDING,1690000280000,6.4,false
282,Nana Akufo-Addo3,10100282,STUDENT,13,8,PENDING,1690000281000,13.2,false
283,Bawumia3,10100283,EMERGENCY,15,1,PENDING,1690000282000,2.6,true
284,Alan Kyerematen3,10100284,DISABLED,17,20,PENDING,1690000283000,21.5,false
285,Kofi Adams3,10100285,STUDENT,19,34,DISPATCHED,1690000284000,3.6,false
286,Asiedu Nketia3,10100286,STAFF,21,46,PENDING,1690000285000,8.4,false
287,Sammy Gyamfi3,10100287,STUDENT,23,4,PENDING,1690000286000,10.4,false
288,Kojo Oppong Nkrumah3,10100288,EMERGENCY,25,1,PENDING,1690000287000,1.3,true
289,Ursula Owusu3,10100289,DISABLED,27,16,PENDING,1690000290000,14.2,false
290,Shirley Ayorkor3,10100290,STUDENT,29,38,DISPATCHED,1690000291000,5.6,false
291,Matthew Opoku Prempeh3,10100291,STAFF,31,10,PENDING,1690000292000,7.4,false
292,Adwoa Safo3,10100292,STUDENT,33,42,PENDING,1690000293000,12.4,false
293,Zanetor Rawlings3,10100293,EMERGENCY,35,1,PENDING,1690000294000,0.4,true
294,Sam George3,10100294,DISABLED,37,28,PENDING,1690000295000,18.2,false
295,Afenyo Markin3,10100295,STUDENT,39,6,DISPATCHED,1690000296000,4.6,false
296,Haruna Iddrisu3,10100296,STAFF,41,32,PENDING,1690000297000,9.4,false
297,Muntaka Mubarak3,10100297,STUDENT,43,18,PENDING,1690000298000,11.4,false
298,James Gyakye Quayson3,10100298,EMERGENCY,45,1,PENDING,1690000299000,2.8,true
299,Osei Kyei Mensah3,10100299,DISABLED,47,40,PENDING,1690000300000,17.2,false
300,Alban Bagbin3,10100300,STUDENT,49,26,DISPATCHED,1690000301000,3.4,false
